2018-05-17 08:49:49 E_ERROR CProtocolCommImp::SendData:145 socket:1960:sended err: -1
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:22:23 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:22:35 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:22:35 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:22:42 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:22:42 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:22:50 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:22:50 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:22:54 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:22:54 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:23:03 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.2
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.3
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.4
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.5
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.6
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.7
2018-05-17 09:23:03 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.3.2.1.8
2018-05-17 09:23:06 E_ERROR CProtocolCommClientImp<class CProcessInterfaceYC>::CloseProcess:230 ProtocolProcess is 0
2018-05-17 09:23:06 E_ERROR CNetMgr::Register:274 Not Exist OID 1.1.2.2.1.2
